検証区分,必要環境/前提,機能,区分一,区分二,区分三,正常/異常,実施場所,事前準備,検証の目的(何を確認するか),操作手順,期待される結果(合格条件),自動テスト,担当者名,確認結果,備考
▲ 専門環境が必要(開発・インフラ),エージェント(踏み台)環境(インフラ),エージェント,ログバッファ,同期,中央が一時不達でも継続,正常系,エージェント(踏み台),エージェント(踏み台)を含む検証環境が構築済みであること。専門のセットアップが要るため開発/インフラ担当と一緒に実施,中央が一時的に落ちても Agent が操作ログを溜め 復旧後に送ることを確認する,"①中央を一時停止
②Agent 経由で操作
③中央を再開し しばらく待つ",復旧後にバッファされたログが中央へ送られる,,,済、ただし注意点あり(2026-07-22 実機検証: /agent/internal/buffer-logへ手動でログを投入→中央停止中はLogSync失敗+バックオフを確認→中央復旧後に自動送信されAuditLogsに記録されることを確認。ただしこのバッファ投入エンドポイントを実際に呼び出すコードがAgent自身のファイル操作ハンドラ(list/download/upload/delete/rename/mkdir)のどこにも見当たらず、通常のファイル操作では自動的にバッファされない可能性がある。改善提案として報告),実機/要Agent
▲ 専門環境が必要(開発・インフラ),エージェント(踏み台)環境(インフラ),エージェント,過負荷制御,503応答,同時数超過で503,異常系,エージェント(踏み台),エージェント(踏み台)を含む検証環境が構築済みであること。専門のセットアップが要るため開発/インフラ担当と一緒に実施。MaxConcurrencyは管理画面(実行ノード)またはPATCH /api/admin/nodes/{id}(maxConcurrencyフィールド)で変更する。Agent側のappsettings.json/環境変数のAgent:MaxConcurrencyはローカル既定値に過ぎず、次回ハートビート時にサーバー側ExecutionNode.MaxConcurrency(既定20)の値で上書きされる点に注意,同時処理が上限を超えると 待たせず断ること(再試行案内)を確認する,"①管理画面またはPATCH /api/admin/nodes/{id}でmaxConcurrencyを小さく設定し、次のハートビートで反映されるのを待つ(Agentログに「MaxConcurrencyを更新」と出る)
②上限を超える同時リクエストを送る",超過分は 503 と Retry-After:5 が返る,,,済、ただし注意点あり(2026-07-22 実機検証: サーバー側ノード設定でmaxConcurrency=1にした上で同時リクエストを送ると、Agent自身のログでは0.55msでHTTP 503を返しており制限自体は機能している。ただしServer(NodeRouter/AgentForwarder)経由でクライアントが受け取る応答は503ではなく汎用500(Retry-Afterヘッダも無し)になっており、Agentが返した503がServerで正しく伝播していない。改善提案として報告),実機/要Agent
− 自動テスト(手動不要),—(自動テストで担保),エージェント,過負荷制御,上限,同時数の制限,正常系,自動テスト(手動不可),—(手動検証は不要),設定した同時数までしか処理を受け付けないことを確認する(精密な同時実行制御の内部検証),画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(自動テスト),自動テストで担保 ConcurrencyLimiterTests
− 自動テスト(手動不要),—(自動テストで担保),エージェント,過負荷制御,動的変更,上限の変更,正常系,自動テスト(手動不可),—(手動検証は不要),稼働中に同時数の上限を増やせることを確認する,画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(自動テスト),自動テストで担保 ConcurrencyLimiterTests
− 自動テスト(手動不要),—(自動テストで担保),エージェント,過負荷制御,下限クランプ,0以下は1にする,異常系,自動テスト(手動不可),—(手動検証は不要),同時数に0以下を指定しても最小1に補正されることを確認する,画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(自動テスト),自動テストで担保 ConcurrencyLimiterTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),セキュリティ,暗号化,資格情報の暗号,登録した接続パスワードで接続できる,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。実 CIFS サーバー,CIFS パスワードが暗号化して保存され 利用時に正しく復号されて接続できることを 間接的に確認する,"①管理>ホストで CIFS パスワード付きでホストを登録
②そのホストで「接続テスト」を実行",接続テストが成功する(保存=暗号化 と 利用=復号 が正しく機能している),○,,一部済(自動テスト)/UI未実施,暗号の内部検証は自動テストでも担保 CryptoHelperTests
− 自動テスト(手動不要),—(自動テストで担保),セキュリティ,暗号化,AES-256-GCM,毎回異なる暗号文,正常系,自動テスト(手動不可),—(手動検証は不要),同じパスワードでも毎回違う暗号文になる(乱数の利用)ことを確認する(暗号文は画面に出ない内部値),画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(自動テスト),自動テストで担保 CryptoHelperTests
− 自動テスト(手動不要),—(自動テストで担保),セキュリティ,暗号化,AES-256-GCM,改ざん検知,異常系,自動テスト(手動不可),—(手動検証は不要),暗号文が改ざんされると復号が失敗することを確認する(内部の暗号処理),画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(自動テスト),自動テストで担保 CryptoHelperTests
− 自動テスト(手動不要),—(自動テストで担保),セキュリティ,暗号化,AES-256-GCM,誤った鍵で復号失敗,異常系,自動テスト(手動不可),—(手動検証は不要),違う鍵では復号できないことを確認する(内部の暗号処理),画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(自動テスト),自動テストで担保 CryptoHelperTests
▲ 専門環境が必要(開発・インフラ),サーバー設定変更+再起動(インフラ),セキュリティ,暗号化,鍵検証,鍵不正で起動/登録に失敗,異常系,中央サーバー(設定ファイル),中央サーバーの設定ファイル(appsettings.json)を編集でき サーバーを再起動できること(開発/インフラ担当向け),暗号鍵が無い/不正なときに 分かりやすく失敗することを確認する(『ホスト管理>鍵不正』と合わせて確認),"①Encryption:MasterKey を空または不正値(短い/非Base64)にしてサーバー再起動
②管理画面でホストを登録してみる",鍵に関するエラーになり 暗号化(ホスト登録)ができない,○,,済(自動テスト; 2026-07-22 PowerShellで実機API操作でも独立に再確認),鍵長/Base64/欠落は自動テストでも担保 EncryptionServiceTests
▲ 専門環境が必要(開発・インフラ),サーバー設定変更+再起動(インフラ),セキュリティ,シークレット検証,起動拒否,Jwt:Secretが初期値,異常系,中央サーバー(設定ファイル),中央サーバーの設定ファイル(appsettings.json)を編集でき サーバーを再起動できること(開発/インフラ担当向け)。本番相当(ASPNETCORE_ENVIRONMENT=Production)で検証,本番で秘密鍵が初期値のままだと 危険なので起動を止めることを確認する,"①Jwt:Secret を初期プレースホルダ(CHANGE-ME...)のままにする
②Production としてサーバーを起動",起動が拒否されエラーになる,,,済(2026-07-22 実機検証: Production環境+Jwt:Secretプレースホルダで起動を試み、起動時に例外で即終了することを確認),実機
▲ 専門環境が必要(開発・インフラ),サーバー設定変更+再起動(インフラ),セキュリティ,シークレット検証,警告のみ,開発環境では警告,正常系,中央サーバー(設定ファイル),中央サーバーの設定ファイル(appsettings.json)を編集でき サーバーを再起動できること(開発/インフラ担当向け)。開発(Development)で検証,開発環境では初期値でも 警告だけで起動できることを確認する,①初期プレースホルダのまま Development で起動,警告ログは出るが起動は継続する,,,済(2026-07-22 実機検証: Development環境+Jwt:Secretプレースホルダで起動し、[WARN]ログを出しつつ正常に起動継続することを確認),実機
▲ 専門環境が必要(開発・インフラ),PowerShellでAPI操作(開発・インフラ),セキュリティ,機微フィールド,API漏洩防止,秘密項目がAPIに出ない,正常系,中央サーバー(PowerShell),中央サーバーが起動済みで PowerShell が使えること。コマンド内の URL は環境に合わせる(開発機は http://127.0.0.1:18080)。各種 API を叩けること(開発担当向け),ユーザー/トークン/デバイス/ホストの API 応答に パスワードハッシュ等の秘密が含まれないことを確認する,"①PowerShell で各一覧 API を取得
②レスポンス JSON に PasswordHash/TokenHash/DeviceTokenHash/CredPasswordEnc が無いか確認",どの API でも秘密項目は出力されない,,,"済(2026-07-22 実機検証: /api/admin/users, /api/admin/users/{id}/devices のレスポンスにPasswordHash/TokenHash等が含まれないことを確認)",実機/エンドポイント
▲ 専門環境が必要(開発・インフラ),PowerShellでAPI操作(開発・インフラ),セキュリティ,例外マスク,情報漏洩防止,内部エラーの隠蔽,正常系,中央サーバー(PowerShell),中央サーバーが起動済みで PowerShell が使えること。コマンド内の URL は環境に合わせる(開発機は http://127.0.0.1:18080),内部エラー時に 詳細なスタックトレースが利用者へ漏れないことを確認する,①わざとエラーになる操作を行い API のエラー応答を確認,汎用メッセージのみで 内部の詳細(スタックトレース)は出ない,,,済(2026-07-22 実機検証: MasterKey不正によるホスト登録失敗を、コンパイル済みDLLを直接実行して正しく再現したProduction環境で確認→スタックトレース等の漏洩なし、空ボディの500。Development環境では同条件でスタックトレース+内部パスが見えるが、これはASP.NET Core既定のDeveloperExceptionPageによる開発時のみの挙動でProductionでは発生しないことを確認済み。なおAdmin系エンドポイントは File系エンドポイントのような安全なJSON整形が無く本文が空になる点は改善提案で報告),実機/エンドポイント
▲ 専門環境が必要(開発・インフラ),エージェント(踏み台)環境(インフラ),セキュリティ,mTLS,相互認証,Server↔Agentの相互認証,正常系,エージェント(踏み台),エージェント(踏み台)を含む検証環境が構築済みであること。専門のセットアップが要るため開発/インフラ担当と一緒に実施。mTLS 構成,中央と Agent が互いに証明書で認証し合うことを確認する,①mTLS 構成で 中央↔Agent の通信を行う,相互認証が成立し通信できる,,,未実施(実機待ち),実機/要Agent
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),パフォーマンス,SMBセッションプール,ポート検証,未対応ポートの拒否,異常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。実 CIFS,SMB は 445 等の対応ポートのみで 未対応ポートだと分かりやすく失敗することを確認する,"①管理>ホストで ポートを 8080 など(445 以外)にしてホストを登録
②「接続テスト」を実行",「ポート未対応」を示すエラーになる,○,,一部済(自動テスト)/UI未実施,自動テストでも担保 CifsSessionTests
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,パフォーマンス,SMBセッションプール,再利用,連続操作で再接続が減る,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること,同じ場所を連続操作したとき 毎回繋ぎ直さず速くなることを確認する(性能),"①同じ共有でフォルダ移動や一覧を素早く連続実行
②体感速度やサーバーログを確認",2回目以降の応答が速い(セッションが再利用されている),,,未実施(実CIFS環境待ち),実機/要CIFS/性能
▲ 専門環境が必要(開発・インフラ),PowerShellでAPI操作(開発・インフラ),パフォーマンス,集約API,catalog,1リクエストで集約取得,正常系,中央サーバー(PowerShell),中央サーバーが起動済みで PowerShell が使えること。コマンド内の URL は環境に合わせる(開発機は http://127.0.0.1:18080)。ユーザートークンを取得できること,ホスト/共有/許可場所をまとめて1回で取得できることを確認する,①PowerShell で /api/hosts/catalog を1回呼ぶ,1回の応答に host/share/location がまとめて返る,,,済(2026-07-22 実機検証: GET /api/hosts/catalogで1回のリクエストにhosts/shares/locationsが集約されて返ることを確認),実機/エンドポイント
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,パフォーマンス,ストリーミング,LOH回避,大容量でもメモリ安定,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。大容量ファイル,大容量転送でもメモリ使用が急増しないことを確認する(性能),①大容量ファイルを転送しながら タスクマネージャーでメモリを観察,メモリが大きく跳ね上がらず安定している,,,未実施(実CIFS環境待ち),実機/要CIFS/性能
− 自動テスト(手動不要),—(自動テストで担保),パフォーマンス,SMBセッションプール,ガード,破棄後の利用拒否,異常系,自動テスト(手動不可),—(手動検証は不要),破棄済みの接続プールを使おうとすると安全にエラーになることを確認する(内部のライフサイクル制御),画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(自動テスト),自動テストで担保 CifsSessionPoolTests
− 自動テスト(手動不要),—(自動テストで担保),パフォーマンス,SMBセッションプール,冪等,二重破棄しても安全,正常系,自動テスト(手動不可),—(手動検証は不要),接続プールを二重に破棄しても問題ないことを確認する(内部のライフサイクル制御),画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(自動テスト),自動テストで担保 CifsSessionPoolTests
▲ 専門環境が必要(開発・インフラ),PowerShellでAPI操作(開発・インフラ),デプロイ・運用,Windowsサービス,登録,中央サーバーをサービス化,正常系,中央サーバー(PowerShell),配布サーバー(IIS)とクライアント PC が用意され ClickOnce 発行ができること(インフラ担当向け)。発行物と 管理者権限の PowerShell,中央サーバーを Windows サービスとして常駐登録できることを確認する,"①管理者 PowerShell で『.\deploy\install-server-service.ps1 -PublishDir <発行先>』を実行
②『Get-Service Watashi.Server』で状態確認",Watashi.Server が自動起動サービスとして登録され Running になる,,,未実施(API/インフラ検証待ち),実機
▲ 専門環境が必要(開発・インフラ),PowerShellでAPI操作(開発・インフラ),デプロイ・運用,Windowsサービス,自動再起動,異常終了からの復帰,正常系,中央サーバー(PowerShell),中央サーバーがサービス登録済みであること,サービスが落ちても自動で再起動することを確認する,"①タスクマネージャー等でサーバープロセスを強制終了
②少し待って『Get-Service Watashi.Server』で状態確認",自動で再起動し再び Running になる(5s→30s→60s の間隔),,,未実施(API/インフラ検証待ち),実機
▲ 専門環境が必要(開発・インフラ),エージェント(踏み台)環境(インフラ),デプロイ・運用,Windowsサービス,登録,エージェントをサービス化,正常系,エージェント(踏み台),エージェント(踏み台)を含む検証環境が構築済みであること。専門のセットアップが要るため開発/インフラ担当と一緒に実施。Agent 発行物と 管理者 PowerShell,Agent を Windows サービスとして登録できることを確認する,"①踏み台で『.\deploy\install-agent-service.ps1 -PublishDir <発行先>』を実行
②『Get-Service Watashi.Agent』で確認",Watashi.Agent が登録され Running になる,,,未実施(実機待ち),実機
▲ 専門環境が必要(開発・インフラ),PowerShellでAPI操作(開発・インフラ),デプロイ・運用,Windowsサービス,削除,アンインストール,正常系,中央サーバー(PowerShell),サービス登録済みであること,サービスを削除できることを確認する,①『.\deploy\uninstall-service.ps1 -ServiceName Watashi.Server』を実行,サービスが削除される,,,未実施(API/インフラ検証待ち),実機
▲ 専門環境が必要(開発・インフラ),サーバー/IIS/ClickOnce運用(インフラ),デプロイ・運用,ClickOnce,インストール,初回インストール,正常系,配布サーバー(IIS)/クライアントPC,配布サーバー(IIS)とクライアント PC が用意され ClickOnce 発行ができること(インフラ担当向け)。社内 CA ルート証明書がクライアント PC に配布済み,配布 URL からクライアントをインストールできることを確認する,"①クライアント PC のブラウザで配布 URL(例: https://watashi.internal/install/Watashi.Client.application)を開く
②画面の指示でインストール",インストールが完了し 初回起動でログイン画面が出る,,,未実施(配布/IIS環境待ち),実機
▲ 専門環境が必要(開発・インフラ),サーバー/IIS/ClickOnce運用(インフラ),デプロイ・運用,ClickOnce,自動更新,起動毎のバージョン確認,正常系,配布サーバー(IIS)/クライアントPC,新しいバージョンを発行済みであること,起動時に更新を確認し 新版があれば取り込むことを確認する,"①新版を発行
②クライアントでアプリを起動する",バージョンチェックが走り 更新があればダウンロードされる,,,未実施(配布/IIS環境待ち),実機
▲ 専門環境が必要(開発・インフラ),サーバー/IIS/ClickOnce運用(インフラ),デプロイ・運用,ClickOnce,更新制御,操作中は強制再起動しない,正常系,クライアントアプリ,更新が来た状態を作れること,ファイル操作中に更新が来ても 作業が中断されないことを確認する,"①ファイル操作中に更新がある状態にする
②そのまま操作を続ける",操作中に強制再起動されない,,,未実施(UI実機待ち),実機
▲ 専門環境が必要(開発・インフラ),PowerShellでAPI操作(開発・インフラ),デプロイ・運用,DB,自動生成,初回起動でDB作成,正常系,中央サーバー(PowerShell),中央サーバーの設定ファイル(appsettings.json)を編集でき サーバーを再起動できること(開発/インフラ担当向け)。DB がまだ無い状態,初回起動で DB が自動生成され 初期データが入ることを確認する,"①DB ファイルが無い状態でサーバーを初回起動
②DB ファイルが作られたか確認し admin でログイン",DB が自動生成され admin(初期パスワード)でログインできる,,,済(2026-07-22 実機検証: DBファイルが無い状態からサーバーを起動→マイグレーション自動適用+初期データ投入+admin/Admin123!@#でのログイン成功を確認),実機
▲ 専門環境が必要(開発・インフラ),PowerShellでAPI操作(開発・インフラ),デプロイ・運用,バックアップ,日次,DBバックアップ,正常系,中央サーバー(PowerShell),バックアップ用スクリプトとタスクスケジューラを設定できること,DB の日次バックアップが取得され 古い世代が整理されることを確認する,"①バックアップスクリプト(backup.ps1)を手動実行
②出力先にバックアップファイルができるか確認",日付付きバックアップが作成される(7世代保持の運用),,,済(2026-07-22 実機検証: deploy/backup.ps1を隔離環境で実行し、Watashi.Server.exe --backup経由で一貫性のあるSQLiteバックアップが生成されることを確認(.tmp→正式名リネーム、exit code 0)),実機/運用
▲ 専門環境が必要(開発・インフラ),PowerShellでAPI操作(開発・インフラ),デプロイ・運用,ログ運用,削除,監査ログの日次削除,正常系,中央サーバー(PowerShell),ログ削除タスクを設定できること,1年を超える操作ログが日次で削除されることを確認する,"①ログ削除タスク(またはスクリプト)を手動実行
②古いログが消えたか操作ログで確認",1年経過分が削除される,,,未実施(API/インフラ検証待ち),実機/運用
▲ 専門環境が必要(開発・インフラ),PowerShellでAPI操作(開発・インフラ),デプロイ・運用,監視,死活監視,/healthで死活確認,正常系,中央サーバー(PowerShell),中央サーバー(と Agent)が起動済み,監視用の /health で稼働確認できることを検証する,"①PowerShell で『Invoke-RestMethod ""$u/health""』を実行(開発機は http://127.0.0.1:18080)",status: ok を含む応答が返る,,,"済(2026-07-22 実機検証: GET /health で {""status"":""ok"",...} が返ることを確認)",実機/運用
▲ 専門環境が必要(開発・インフラ),サーバー設定変更+再起動(インフラ),デプロイ・運用,ポート設定,変更,待受ポートの変更,正常系,中央サーバー(設定ファイル),中央サーバーの設定ファイル(appsettings.json)を編集でき サーバーを再起動できること(開発/インフラ担当向け),設定で待受ポートを変更できることを確認する,"①appsettings.json の Kestrel:Endpoints の port を変更
②サーバーを再起動し その新ポートへアクセス",新しいポートで待ち受ける,,,済(2026-07-22 実機検証: Kestrel:Endpoints:Http:Urlを環境変数で変更し、指定ポートで待受することを確認),実機
▲ 専門環境が必要(開発・インフラ),サーバー設定変更+再起動(インフラ),デプロイ・運用,ポート設定,競合,ポート使用中,異常系,中央サーバー(設定ファイル),中央サーバーの設定ファイル(appsettings.json)を編集でき サーバーを再起動できること(開発/インフラ担当向け)。既に使われているポートを把握,既に使用中のポートを指定すると 分かりやすく起動失敗することを確認する,①既に使用中のポートを設定してサーバー起動,address already in use で起動に失敗する(別ポートへの変更が必要と分かる),,,"済(2026-07-22 実機検証: 使用中のポートを指定して2つ目のインスタンスを起動→""address already in use""で起動失敗することを確認)",実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),UI・デザイン,ブランド,アイコン,鳥居アイコンの表示,正常系,クライアントアプリ,中央サーバーが起動していて クライアントアプリに一般ユーザーでログイン済みであること(ログイン方法は『認証>手動ログイン』参照),ウィンドウやヘッダーに鳥居アイコンが表示されることを確認する(ブランド),①各画面(ウィンドウ枠/ヘッダー/ログイン/リモートが空のとき)を見る,鳥居アイコンが表示されている,,,未実施(UI実機待ち),実機/UI
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),UI・デザイン,ツールチップ,省略表示,長い名前の全文表示,正常系,クライアントアプリ,中央サーバーが起動していて クライアントアプリに一般ユーザーでログイン済みであること(ログイン方法は『認証>手動ログイン』参照)。長い名前のファイル/フォルダがあること,長い名前は省略表示され マウスを乗せると全文が見えることを確認する,①長い名前の項目にマウスカーソルを乗せて待つ,末尾が…で省略され ホバーで全文ツールチップが出る,,,済(2026-07-22 実機検証(UI): 非常に長いファイル名のファイルにマウスカーソルを乗せると、省略表示された名前ではなく、ツールチップでファイル名全文が表示されることを確認。),実機/UI
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),UI・デザイン,空状態,ヒント,空のときの案内文,正常系,クライアントアプリ,中央サーバーが起動していて クライアントアプリに一般ユーザーでログイン済みであること(ログイン方法は『認証>手動ログイン』参照),データが無い画面で 次に何をすべきかの案内が出ることを確認する,①ユーザー0件/権限0件/リモートに場所が無い/絞り込み0件 などの空状態を表示する,それぞれ親切な案内文(ヒント)が表示される,,,済(2026-07-22 実機検証(UI): リモート共有接続後、フォルダが空の場合に📂アイコンと「このフォルダは空です」という案内文が表示されることを確認。),実機/UI
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),UI・デザイン,権限別表示,管理ボタン,一般ユーザーに管理を出さない,正常系,クライアントアプリ,一般ユーザー(管理者でない)でログインできること,管理者でない人には管理メニューが見えないことを確認する,①一般ユーザーでログインし 画面上部のメニューを見る,「管理」メニュー/ボタンが表示されない,,,済(2026-07-22 実機検証(UI): 非adminユーザー(testuser1)でログインした場合、メイン画面右上に「管理」ボタンが表示されないことを確認(adminユーザーでは表示される、との対比で確認)。),実機/UI
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),UI・デザイン,権限別表示,共有なし案内,アクセス可能な共有が無い,正常系,クライアントアプリ,権限が一つも無いユーザーでログインできること,使える共有が無いとき 管理者へ依頼する案内が出ることを確認する,①権限の無いユーザーでログインし リモート側を見る,「管理者に依頼してください」のような案内が出る,,,未実施(UI実機待ち),実機/UI
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),UI・デザイン,仮想化,大量データ,ユーザー一覧の軽快さ,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。ユーザーが多数登録されていること,ユーザーが大量でも一覧が軽快にスクロールできることを確認する(性能),①管理>ユーザー(または ユーザー権限)タブで一覧を勢いよくスクロール,引っかからず滑らかにスクロールできる,,,未実施(性能環境待ち),実機/UI/性能
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),認証,パスワード変更,変更後確認,旧パスワードで再ログイン不可,異常系,クライアントアプリ,パスワード変更が成功済みで 変更前と変更後のパスワードが分かっていること,パスワード変更後に旧パスワードが使えないことを確認する,①パスワード変更を完了する ②ログアウトする ③旧パスワードでログインを試す ④新パスワードでログインを試す,旧パスワードではログインできず 新パスワードではログインできる,○,,済(API検証+自動テスト),自動テストでも担保 AuthServiceTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),認証,パスワード変更,任意変更,キャンセルしても変更されない,正常系,クライアントアプリ,ログイン済みで 画面上部のパスワード変更ボタンを押せること,任意のパスワード変更画面をキャンセルした場合に既存パスワードのまま使えることを確認する,①メニューからパスワード変更画面を開く ②何も変更せずキャンセルする ③ログアウトして現在のパスワードでログインする,キャンセル後もパスワードは変わらず 現在のパスワードでログインできる,,,未実施(UI実機待ち),実機/UI
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),認証,パスワード変更,強制変更,キャンセル不可,異常系,クライアントアプリ,管理者に依頼して検証用ユーザーをパスワード変更必須にしておくこと,強制変更画面ではキャンセルできず 変更を完了するまで通常操作へ進めないことを確認する,①変更必須ユーザーでログインする ②表示されたパスワード変更画面を見る ③キャンセルボタンや閉じる操作が使えるか確認する ④変更せずファイル操作へ進めるか確認する,キャンセルできない または閉じても再度変更を求められ 通常操作へ進めない,○,,一部済(API検証+自動テスト)/UI未実施,自動テストでも担保 PasswordChangeRequiredMiddlewareTests。UIは実機確認
▲ 専門環境が必要(開発・インフラ),PowerShellでAPI操作(開発・インフラ),認証,パスワード変更,認証なし,未ログインで変更不可,異常系,中央サーバー(PowerShell),中央サーバーが起動済みで PowerShell が使えること。コマンド内の URL は環境に合わせる(開発機は http://127.0.0.1:18080),未ログイン状態ではパスワード変更 API を呼べないことを確認する,①Authorization ヘッダーなしで /api/auth/change-password に現在PWと新PWをPOSTする,401 Unauthorized になり パスワードは変更されない,,,済(API検証; 2026-07-22 実機で401を独立再確認),実機/エンドポイント
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,削除,リモート空フォルダ,空フォルダ削除,正常系,クライアントアプリ,削除(DELETE)権限のあるリモート場所に 空の検証用フォルダを作っておくこと,リモートの空フォルダを削除できることを確認する,①リモート側で空フォルダを選ぶ ②Deleteキーまたは右クリック>削除を押す ③確認ダイアログでOKを押す ④一覧を更新する,フォルダが一覧から消え CIFS上にも残っていない,,,未実施(実CIFS環境待ち),実機/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,削除,リモート中身ありフォルダ,再帰削除,正常系,クライアントアプリ,削除(DELETE)権限のあるリモート場所に サブフォルダとファイルを含む検証用フォルダを作っておくこと,リモートの中身があるフォルダを子要素ごと削除できることを確認する,①リモート側で中身ありフォルダを選ぶ ②削除を実行して確認ダイアログでOKを押す ③一覧を更新する ④親フォルダと子ファイルが残っていないか確認する,フォルダ配下のファイルとサブフォルダも含めて削除される,○,,一部済(自動テスト)/実CIFS未実施,再帰処理は自動テストでも担保 CifsDeleteWalkerTests。実CIFSは実機確認
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,削除,リモート削除キャンセル,確認ダイアログCancel,正常系,クライアントアプリ,削除(DELETE)権限のあるリモート場所に削除してよい検証用ファイルまたはフォルダがあること,削除確認でキャンセルした場合にリモート項目が残ることを確認する,①リモート側で検証用項目を選ぶ ②Deleteキーまたは右クリック>削除を押す ③確認ダイアログでCancelを押す ④一覧を更新する,対象は削除されず一覧とCIFS上に残る,,,未実施(実CIFS環境待ち),実機/UI/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),ファイル操作,削除,ローカル空フォルダ,空フォルダ削除,正常系,クライアントアプリ,ローカルの一時検証フォルダ配下に 空の検証用フォルダを作っておくこと,ローカル側の空フォルダを削除できることを確認する,①ローカル側で空フォルダを選ぶ ②Deleteキーまたは右クリック>削除を押す ③確認ダイアログでOKを押す ④一覧を更新する,フォルダが一覧とファイルシステムから消える,,,済(2026-07-22 実機検証(UI): ローカルペインで空フォルダを右クリック→削除→確認ダイアログでOK→フォルダが一覧から削除されることを確認。),実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),ファイル操作,削除,ローカル中身ありフォルダ,再帰削除,正常系,クライアントアプリ,ローカルの一時検証フォルダ配下に サブフォルダとファイルを含む検証用フォルダを作っておくこと,ローカル側の中身があるフォルダを子要素ごと削除できることを確認する,①ローカル側で中身ありフォルダを選ぶ ②削除を実行して確認ダイアログでOKを押す ③一覧を更新する ④エクスプローラーでも残っていないか確認する,フォルダ配下のファイルとサブフォルダも含めて削除される,,,済(2026-07-22 実機検証(UI): ローカルペインで中身のあるフォルダ(ファイル入り)を右クリック→削除→確認ダイアログでOK→フォルダとその中身が再帰的に削除されることを確認。),実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),ファイル操作,削除,ローカル削除キャンセル,確認ダイアログCancel,正常系,クライアントアプリ,ローカルの一時検証フォルダ配下に削除してよい検証用ファイルまたはフォルダがあること,削除確認でキャンセルした場合にローカル項目が残ることを確認する,①ローカル側で検証用項目を選ぶ ②Deleteキーまたは右クリック>削除を押す ③確認ダイアログでCancelを押す ④一覧を更新する,対象は削除されずローカルファイルシステム上に残る,,,済(2026-07-22 実機検証(UI): ローカルペインでフォルダ削除の確認ダイアログでキャンセルを選択すると、フォルダが削除されずに一覧に残ることを確認。),実機/UI
